timestamp,valence,arousal,stress_score,dominant_zone,pitch,jitter,shimmer
2026-03-15T11:36:32.237995,-0.3297,0.1200,0.3249,neutral,0.00,0.0000,0.0000
2026-03-15T11:36:32.277689,-0.1295,0.1364,0.2329,neutral,0.00,0.0000,0.0000
2026-03-15T11:36:32.337344,-0.2240,0.0852,0.2546,neutral,0.00,0.0000,0.0000
2026-03-15T11:36:32.392947,-0.1042,0.1487,0.2265,neutral,0.00,0.0000,0.0000
2026-03-15T11:36:32.454547,-0.1526,0.3210,0.3368,neutral,0.00,0.0000,0.0000
2026-03-15T11:36:32.516942,-0.3585,0.3968,0.4776,high_stress,0.00,0.0000,0.0000
2026-03-15T11:36:32.557647,-0.3043,0.2434,0.3738,neutral,0.00,0.0000,0.0000
2026-03-15T11:36:32.618509,-0.2770,0.0442,0.2606,neutral,0.00,0.0000,0.0000
2026-03-15T11:36:32.657202,-0.2522,0.0360,0.2441,neutral,0.00,0.0000,0.0000
2026-03-15T11:36:32.691449,-0.3343,0.3212,0.4278,high_stress,0.00,0.0000,0.0000
2026-03-15T11:36:32.725731,-0.2078,0.0544,0.2311,neutral,0.00,0.0000,0.0000
2026-03-15T11:36:32.761569,-0.5527,0.1733,0.4630,neutral,0.00,0.0000,0.0000
2026-03-15T11:36:32.799099,-0.2129,0.1599,0.2864,neutral,0.00,0.0000,0.0000
2026-03-15T11:36:32.832023,-0.1383,0.1753,0.2568,neutral,0.00,0.0000,0.0000
2026-03-15T11:36:32.861106,-0.5748,0.0486,0.4117,neutral,0.00,0.0000,0.0000
2026-03-15T11:36:32.913087,-0.4502,0.2005,0.4253,neutral,0.00,0.0000,0.0000
2026-03-15T11:36:32.996075,-0.2084,0.4763,0.4423,high_stress,0.00,0.0000,0.0000
2026-03-15T11:36:33.051700,-0.2061,-0.1966,0.1047,sadness,0.00,0.0000,0.0000
2026-03-15T11:36:33.101132,-0.1509,0.0122,0.1815,neutral,0.00,0.0000,0.0000
2026-03-15T11:36:33.165030,-0.0687,0.1814,0.2251,neutral,0.00,0.0000,0.0000
2026-03-15T11:36:33.208697,-0.3432,0.2895,0.4164,neutral,0.00,0.0000,0.0000
2026-03-15T11:36:33.252829,-0.1148,0.1379,0.2264,neutral,0.00,0.0000,0.0000
2026-03-15T11:36:33.287186,-0.3946,0.1416,0.3681,neutral,0.00,0.0000,0.0000
2026-03-15T11:36:33.329412,-0.1628,0.1547,0.2588,neutral,0.00,0.0000,0.0000
2026-03-15T11:36:33.364985,-0.2813,0.4158,0.4485,high_stress,0.00,0.0000,0.0000
2026-03-15T11:36:33.406565,-0.5100,0.2801,0.4951,neutral,0.00,0.0000,0.0000
2026-03-15T11:36:33.446739,-0.3450,0.2265,0.3857,neutral,0.00,0.0000,0.0000
2026-03-15T11:36:33.484736,0.0529,0.2971,0.2221,neutral,0.00,0.0000,0.0000
2026-03-15T11:36:33.519517,-0.0331,0.1384,0.1858,neutral,0.00,0.0000,0.0000
2026-03-15T11:36:33.553620,-0.1085,-0.1673,0.0706,neutral,0.00,0.0000,0.0000
2026-03-15T11:36:33.596315,0.0996,-0.0856,0.0074,neutral,0.00,0.0000,0.0000
2026-03-15T11:36:33.641079,-0.6954,0.3467,0.6211,high_stress,0.00,0.0000,0.0000
2026-03-15T11:36:33.692167,-0.1196,0.2504,0.2850,neutral,0.00,0.0000,0.0000
2026-03-15T11:36:33.742276,-0.3312,0.0991,0.3151,neutral,0.00,0.0000,0.0000
2026-03-15T11:36:33.794994,-0.6074,0.0914,0.4494,neutral,0.00,0.0000,0.0000
2026-03-15T11:36:33.882070,-0.3397,0.2825,0.4111,neutral,0.00,0.0000,0.0000
2026-03-15T11:36:33.959109,0.0805,0.2991,0.2093,neutral,0.00,0.0000,0.0000
2026-03-15T11:36:34.025011,-0.2052,0.0725,0.2389,neutral,0.00,0.0000,0.0000
2026-03-15T11:36:34.085092,-0.3571,0.2799,0.4185,neutral,0.00,0.0000,0.0000
2026-03-15T11:36:34.141536,-0.2772,-0.0073,0.2349,neutral,0.00,0.0000,0.0000
2026-03-15T11:36:34.201871,-0.3290,0.2300,0.3795,neutral,0.00,0.0000,0.0000
